GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
frontiers,edu.ucsb.cs156.frontiers.errors,DuplicateGroupException,0,4,0,0,0,2,0,1,0,1
frontiers,edu.ucsb.cs156.frontiers.errors,NoLinkedOrganizationException,0,5,0,0,0,2,0,1,0,1
frontiers,edu.ucsb.cs156.frontiers.errors,EntityNotFoundException,0,17,0,0,0,2,0,1,0,1
frontiers,edu.ucsb.cs156.frontiers.errors,InvalidInstallationTypeException,0,5,0,0,0,2,0,1,0,1
frontiers,edu.ucsb.cs156.frontiers.enums,DownloadRequestType,0,18,0,0,0,5,0,2,0,2
frontiers,edu.ucsb.cs156.frontiers.enums,Visibility,0,15,0,0,0,3,0,1,0,1
frontiers,edu.ucsb.cs156.frontiers.enums,RosterStatus,0,21,0,0,0,4,0,1,0,1
frontiers,edu.ucsb.cs156.frontiers.enums,RepositoryPermissions,0,39,0,0,0,8,0,2,0,2
frontiers,edu.ucsb.cs156.frontiers.enums,RepositoryCreationOption,0,21,0,0,0,4,0,1,0,1
frontiers,edu.ucsb.cs156.frontiers.enums,InsertStatus,0,21,0,0,0,4,0,1,0,1
frontiers,edu.ucsb.cs156.frontiers.enums,Permission,0,27,0,0,0,5,0,1,0,1
frontiers,edu.ucsb.cs156.frontiers.enums,AssignmentType,0,15,0,0,0,3,0,1,0,1
frontiers,edu.ucsb.cs156.frontiers.enums,TeamStatus,0,27,0,0,0,5,0,1,0,1
frontiers,edu.ucsb.cs156.frontiers.enums,OrgStatus,0,39,0,0,0,7,0,1,0,1
frontiers,edu.ucsb.cs156.frontiers.enums,School,0,85,0,6,0,20,0,6,0,3
frontiers,edu.ucsb.cs156.frontiers.enums,CourseOptions,0,27,0,0,0,5,0,1,0,1
frontiers,edu.ucsb.cs156.frontiers.interceptors,RoleUpdateInterceptor,0,100,0,12,0,26,0,9,0,3
frontiers,edu.ucsb.cs156.frontiers.services,GithubTeamService.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
frontiers,edu.ucsb.cs156.frontiers.services,GithubTeamService.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
frontiers,edu.ucsb.cs156.frontiers.services,GithubTeamService.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
frontiers,edu.ucsb.cs156.frontiers.services,GithubTeamService.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
frontiers,edu.ucsb.cs156.frontiers.services,RepositoryService.GithubRepository,0,9,0,0,0,1,0,1,0,1
frontiers,edu.ucsb.cs156.frontiers.services,GithubTeamService.GithubTeamMemberInfo,0,6,0,0,0,1,0,1,0,1
frontiers,edu.ucsb.cs156.frontiers.services,JobUserProviderImpl,0,26,0,4,0,5,0,5,0,3
frontiers,edu.ucsb.cs156.frontiers.services,RosterStudentDTOService,0,24,0,0,0,6,0,3,0,3
frontiers,edu.ucsb.cs156.frontiers.services,GithubTeamService,0,961,0,46,0,202,0,41,0,18
frontiers,edu.ucsb.cs156.frontiers.services,OrganizationLinkerService,0,336,0,12,0,75,0,13,0,7
frontiers,edu.ucsb.cs156.frontiers.services,CanvasService,0,203,0,0,0,72,0,8,0,8
frontiers,edu.ucsb.cs156.frontiers.services,OrganizationMemberService.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
frontiers,edu.ucsb.cs156.frontiers.services,OrganizationMemberService.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
